Date,Visitor/Neutral,PTS,Home/Neutral,PTS,Winner Name,Loser Name,Winner,Loser
Tue Oct 25 2016,New York Knicks,88,Cleveland Cavaliers,117,Cleveland Cavaliers,New York Knicks,CLE,NYK
Tue Oct 25 2016,San Antonio Spurs,129,Golden State Warriors,100,San Antonio Spurs,Golden State Warriors,SAS,GSW
Tue Oct 25 2016,Utah Jazz,104,Portland Trail Blazers,113,Portland Trail Blazers,Utah Jazz,POR,UTA
Wed Oct 26 2016,Brooklyn Nets,117,Boston Celtics,122,Boston Celtics,Brooklyn Nets,BOS,BKN
Wed Oct 26 2016,Dallas Mavericks,121,Indiana Pacers,130,Indiana Pacers,Dallas Mavericks,IND,DAL
Wed Oct 26 2016,Houston Rockets,114,Los Angeles Lakers,120,Los Angeles Lakers,Houston Rockets,LAL,HOU
Wed Oct 26 2016,Minnesota Timberwolves,98,Memphis Grizzlies,102,Memphis Grizzlies,Minnesota Timberwolves,MEM,MIN
Wed Oct 26 2016,Charlotte Hornets,107,Milwaukee Bucks,96,Charlotte Hornets,Milwaukee Bucks,CHA,MIL
Wed Oct 26 2016,Denver Nuggets,107,New Orleans Pelicans,102,Denver Nuggets,New Orleans Pelicans,DEN,NOP
Wed Oct 26 2016,Miami Heat,108,Orlando Magic,96,Miami Heat,Orlando Magic,MIA,ORL
Wed Oct 26 2016,Oklahoma City Thunder,103,Philadelphia 76ers,97,Oklahoma City Thunder,Philadelphia 76ers,OKC,PHI
Wed Oct 26 2016,Sacramento Kings,113,Phoenix Suns,94,Sacramento Kings,Phoenix Suns,SAC,PHX
Wed Oct 26 2016,Detroit Pistons,91,Toronto Raptors,109,Toronto Raptors,Detroit Pistons,TOR,DET
Thu Oct 27 2016,Washington Wizards,99,Atlanta Hawks,114,Atlanta Hawks,Washington Wizards,ATL,WAS
Thu Oct 27 2016,Boston Celtics,99,Chicago Bulls,105,Chicago Bulls,Boston Celtics,CHI,BOS
Thu Oct 27 2016,Los Angeles Clippers,114,Portland Trail Blazers,106,Los Angeles Clippers,Portland Trail Blazers,LAC,POR
Thu Oct 27 2016,San Antonio Spurs,102,Sacramento Kings,94,San Antonio Spurs,Sacramento Kings,SAS,SAC
Fri Oct 28 2016,Indiana Pacers,94,Brooklyn Nets,103,Brooklyn Nets,Indiana Pacers,BKN,IND
Fri Oct 28 2016,Houston Rockets,106,Dallas Mavericks,98,Houston Rockets,Dallas Mavericks,HOU,DAL
Fri Oct 28 2016,Orlando Magic,82,Detroit Pistons,108,Detroit Pistons,Orlando Magic,DET,ORL
Fri Oct 28 2016,Charlotte Hornets,97,Miami Heat,91,Charlotte Hornets,Miami Heat,CHA,MIA
Fri Oct 28 2016,Golden State Warriors,122,New Orleans Pelicans,114,Golden State Warriors,New Orleans Pelicans,GSW,NOP
Fri Oct 28 2016,Phoenix Suns,110,Oklahoma City Thunder,113,Oklahoma City Thunder,Phoenix Suns,OKC,PHX
Fri Oct 28 2016,Cleveland Cavaliers,94,Toronto Raptors,91,Cleveland Cavaliers,Toronto Raptors,CLE,TOR
Fri Oct 28 2016,Los Angeles Lakers,89,Utah Jazz,96,Utah Jazz,Los Angeles Lakers,UTA,LAL
Sat Oct 29 2016,Indiana Pacers,101,Chicago Bulls,118,Chicago Bulls,Indiana Pacers,CHI,IND
Sat Oct 29 2016,Boston Celtics,104,Charlotte Hornets,98,Boston Celtics,Charlotte Hornets,BOS,CHA
Sat Oct 29 2016,Orlando Magic,99,Cleveland Cavaliers,105,Cleveland Cavaliers,Orlando Magic,CLE,ORL
Sat Oct 29 2016,Portland Trail Blazers,115,Denver Nuggets,113,Portland Trail Blazers,Denver Nuggets,POR,DEN
Sat Oct 29 2016,Brooklyn Nets,108,Milwaukee Bucks,110,Milwaukee Bucks,Brooklyn Nets,MIL,BKN
Sat Oct 29 2016,Memphis Grizzlies,104,New York Knicks,111,New York Knicks,Memphis Grizzlies,NYK,MEM
Sat Oct 29 2016,Atlanta Hawks,104,Philadelphia 76ers,72,Atlanta Hawks,Philadelphia 76ers,ATL,PHI
Sat Oct 29 2016,Minnesota Timberwolves,103,Sacramento Kings,106,Sacramento Kings,Minnesota Timberwolves,SAC,MIN
Sat Oct 29 2016,New Orleans Pelicans,79,San Antonio Spurs,98,San Antonio Spurs,New Orleans Pelicans,SAS,NOP
Sun Oct 30 2016,Milwaukee Bucks,83,Detroit Pistons,98,Detroit Pistons,Milwaukee Bucks,DET,MIL
Sun Oct 30 2016,Dallas Mavericks,92,Houston Rockets,93,Houston Rockets,Dallas Mavericks,HOU,DAL
Sun Oct 30 2016,Utah Jazz,75,Los Angeles Clippers,88,Los Angeles Clippers,Utah Jazz,LAC,UTA
Sun Oct 30 2016,Washington Wizards,103,Memphis Grizzlies,112,Memphis Grizzlies,Washington Wizards,MEM,WAS
Sun Oct 30 2016,San Antonio Spurs,106,Miami Heat,99,San Antonio Spurs,Miami Heat,SAS,MIA
Sun Oct 30 2016,Los Angeles Lakers,96,Oklahoma City Thunder,113,Oklahoma City Thunder,Los Angeles Lakers,OKC,LAL
Sun Oct 30 2016,Golden State Warriors,106,Phoenix Suns,100,Golden State Warriors,Phoenix Suns,GSW,PHX
Mon Oct 31 2016,Sacramento Kings,95,Atlanta Hawks,106,Atlanta Hawks,Sacramento Kings,ATL,SAC
Mon Oct 31 2016,Chicago Bulls,118,Brooklyn Nets,88,Chicago Bulls,Brooklyn Nets,CHI,BKN
Mon Oct 31 2016,Phoenix Suns,98,Los Angeles Clippers,116,Los Angeles Clippers,Phoenix Suns,LAC,PHX
Mon Oct 31 2016,Denver Nuggets,102,Toronto Raptors,105,Toronto Raptors,Denver Nuggets,TOR,DEN
Tue Nov 1 2016,Houston Rockets,120,Cleveland Cavaliers,128,Cleveland Cavaliers,Houston Rockets,CLE,HOU
Tue Nov 1 2016,New York Knicks,89,Detroit Pistons,102,Detroit Pistons,New York Knicks,DET,NYK
Tue Nov 1 2016,Los Angeles Lakers,108,Indiana Pacers,115,Indiana Pacers,Los Angeles Lakers,IND,LAL
Tue Nov 1 2016,Sacramento Kings,96,Miami Heat,108,Miami Heat,Sacramento Kings,MIA,SAC
Tue Nov 1 2016,Memphis Grizzlies,80,Minnesota Timberwolves,116,Minnesota Timberwolves,Memphis Grizzlies,MIN,MEM
Tue Nov 1 2016,Milwaukee Bucks,117,New Orleans Pelicans,113,Milwaukee Bucks,New Orleans Pelicans,MIL,NOP
Tue Nov 1 2016,Orlando Magic,103,Philadelphia 76ers,101,Orlando Magic,Philadelphia 76ers,ORL,PHI
Tue Nov 1 2016,Golden State Warriors,127,Portland Trail Blazers,104,Golden State Warriors,Portland Trail Blazers,GSW,POR
Tue Nov 1 2016,Utah Jazz,106,San Antonio Spurs,91,Utah Jazz,San Antonio Spurs,UTA,SAS
Wed Nov 2 2016,Los Angeles Lakers,123,Atlanta Hawks,116,Los Angeles Lakers,Atlanta Hawks,LAL,ATL
Wed Nov 2 2016,Chicago Bulls,100,Boston Celtics,107,Boston Celtics,Chicago Bulls,BOS,CHI
Wed Nov 2 2016,Detroit Pistons,101,Brooklyn Nets,109,Brooklyn Nets,Detroit Pistons,BKN,DET
Wed Nov 2 2016,Philadelphia 76ers,93,Charlotte Hornets,109,Charlotte Hornets,Philadelphia 76ers,CHA,PHI
